Amenity,Type,Latitude,Longitude
Bowen Secondary School,School,1.370359944,103.8776596
Broadrick Secondary School,School,1.307050611,103.8869179
Bukit Batok Secondary School,School,1.348491111,103.7408737
Bukit Merah Secondary School,School,1.285692831,103.8134389
Bukit Panjang Govt. High School,School,1.382242434,103.7383612
Bukit Panjang Primary School,School,1.373621793,103.7693749
Bukit Timah Primary School,School,1.337299558,103.7668287
Bukit View Primary School,School,1.345860548,103.7536664
Bukit View Secondary School,School,1.345733055,103.7522266
Canberra Primary School,School,1.451250244,103.8158589
Canberra Secondary School,School,1.453190863,103.8142036
Canossa Catholic Primary School,School,1.326644245,103.882228
Cantonment Primary School,School,1.275472526,103.8399626
Casuarina Primary School,School,1.372460639,103.9570203
Catholic High School,School,1.354388784,103.8442107
Catholic Junior College,School,1.324556058,103.8350288
Cedar Girls' Secondary School,School,1.333758002,103.8739331
Cedar Primary School,School,1.335660844,103.8756201
Changkat Changi Secondary School,School,1.339506301,103.9532455
Changkat Primary School,School,1.339973347,103.9522739
Chij (Katong) Primary,School,1.306485353,103.9111056
Chij (Kellock),School,1.275022723,103.8281576
Chij Katong Convent,School,1.30644268,103.9171444
Chij Our Lady Of Good Counsel,School,1.357429523,103.8640094
Chij Our Lady Of The Nativity,School,1.373302971,103.8975757
Chij Our Lady Queen Of Peace,School,1.366603669,103.7674122
Chij Primary (Toa Payoh),School,1.332752647,103.8418473
Chij Secondary (Toa Payoh),School,1.332460799,103.8432716
Chij St. Joseph'S Convent,School,1.391752223,103.902465
Chij St. Nicholas Girls' School,School,1.373476879,103.8342533
Chij St. Theresa'S Convent,School,1.275351775,103.8224407
Chongfu School,School,1.438462304,103.8390707
Chongzheng Primary School,School,1.350707392,103.9513995
Christ Church Secondary School,School,1.426567809,103.7934511
Chua Chu Kang Primary School,School,1.377758901,103.7418329
Chua Chu Kang Secondary School,School,1.383190293,103.7518783
Chung Cheng High School (Main),School,1.305091548,103.8916532
Chung Cheng High School (Yishun),School,1.419226036,103.8373908
Clementi Primary School,School,1.315063218,103.7631445
Clementi Town Secondary School,School,1.315539129,103.7620206
Commonwealth Secondary School,School,1.319203959,103.7456374
Compassvale Primary School,School,1.394445296,103.8978122
Compassvale Secondary School,School,1.39614084,103.8998472
Concord Primary School,School,1.380008062,103.7362254
Corporation Primary School,School,1.350997799,103.7075937
Crescent Girls' School,School,1.293319471,103.8175445
Crest Secondary School,School,1.372840601,103.9597282
Damai Primary School,School,1.335461068,103.9212702
Damai Secondary School,School,1.336927985,103.9270917
Dazhong Primary School,School,1.359179745,103.7484721
De La Salle School,School,1.39470783,103.7432018
Deyi Secondary School,School,1.365997026,103.8525458
Dunearn Secondary School,School,1.363579008,103.7447211
Dunman High School,School,1.29996216,103.8829416
Dunman Secondary School,School,1.360652583,103.9562139
East Spring Primary School,School,1.352684007,103.9616768
East Spring Secondary School,School,1.35622509,103.9606407
Edgefield Primary School,School,1.400091395,103.9078476
Edgefield Secondary School,School,1.4005931,103.9026874
Elias Park Primary School,School,1.374512694,103.9451281
Endeavour Primary School,School,1.454038375,103.8174362
Eunoia Junior College,School,1.362137572,103.8412862
Eunos Primary School,School,1.324476299,103.9045413
Evergreen Primary School,School,1.444153328,103.7945778
Evergreen Secondary School,School,1.441491313,103.7941378
Fairfield Methodist School (Primary),School,1.301004419,103.7854556
Fairfield Methodist School (Secondary),School,1.301633744,103.7840996
Fajar Secondary School,School,1.375600053,103.7639989
Farrer Park Primary School,School,1.312368677,103.8507664
Fengshan Primary School,School,1.329805988,103.9317103
